,atr_14_pct,atr_vol_20,range_pct,dist_sma50_pct,macd_hist,bb_bw_20,vol_ratio_20,cmf_20,up_down_vol_ratio_20,ret_vol_corr_20,pct_dist_to_20_high,breakout_up_20,breakout_down_20,vwap_dist,vwap_slope_5,wick_to_body_ratio,inside_bar,engulfing,gap_pct,up_streak,down_streak,wick_up_streak_3,wick_down_streak_3,ret_skew_20,ret_kurt_20,dow,dow_sin,dow_cos,hour,hour_sin,hour_cos,vol_cv_20_log
atr_14_pct,1.0,0.35,0.52,-0.13,-0.24,0.55,0.04,-0.2,-0.18,-0.05,-0.53,-0.15,0.06,-0.09,-0.16,-0.01,0.09,0.02,0.04,-0.05,0.07,-0.02,-0.05,-0.06,0.24,0.01,-0.02,0.02,,,,0.1
atr_vol_20,0.35,1.0,0.16,0.16,-0.03,0.25,-0.07,0.12,0.1,0.01,-0.07,-0.06,-0.06,0.01,0.03,-0.02,0.03,0.06,0.02,0.05,-0.01,-0.07,-0.09,-0.01,0.29,-0.0,-0.0,0.0,,,,0.09
range_pct,0.52,0.16,1.0,0.05,-0.12,0.3,0.52,0.01,-0.03,0.06,-0.23,0.1,0.17,-0.02,-0.08,-0.03,-0.19,0.24,0.04,-0.04,0.09,0.06,-0.05,0.05,0.1,0.09,-0.08,0.02,,,,0.04
dist_sma50_pct,-0.13,0.16,0.05,1.0,0.38,0.27,-0.01,0.66,0.65,0.47,0.66,0.31,-0.27,0.18,0.5,0.07,-0.01,0.03,0.08,0.26,-0.23,0.05,-0.04,0.37,0.14,-0.02,0.01,0.02,,,,0.06
macd_hist,-0.24,-0.03,-0.12,0.38,1.0,0.05,-0.04,0.43,0.44,0.19,0.71,0.29,-0.3,0.15,0.73,0.02,-0.01,-0.03,0.06,0.32,-0.31,0.02,-0.0,0.05,0.07,-0.0,0.02,-0.01,,,,-0.06
bb_bw_20,0.55,0.25,0.3,0.27,0.05,1.0,-0.0,0.13,0.27,0.14,-0.28,0.02,-0.01,-0.01,0.1,0.04,0.06,-0.02,0.05,0.13,-0.04,0.02,-0.01,0.09,0.21,-0.0,-0.01,0.01,,,,0.16
vol_ratio_20,0.04,-0.07,0.52,-0.01,-0.04,-0.0,1.0,0.05,-0.02,0.03,-0.06,0.23,0.2,0.07,-0.04,-0.02,-0.14,0.02,-0.02,0.1,0.08,0.05,-0.03,0.03,-0.0,0.0,0.06,-0.09,,,,0.02
cmf_20,-0.2,0.12,0.01,0.66,0.43,0.13,0.05,1.0,0.66,0.52,0.61,0.3,-0.24,0.21,0.39,0.01,-0.03,0.05,-0.03,0.23,-0.16,-0.03,0.04,0.24,0.09,-0.02,0.01,0.02,,,,-0.06
up_down_vol_ratio_20,-0.18,0.1,-0.03,0.65,0.44,0.27,-0.02,0.66,1.0,0.56,0.54,0.31,-0.19,0.11,0.39,0.01,0.01,0.03,0.08,0.32,-0.23,0.03,0.0,0.24,0.24,-0.01,0.01,0.02,,,,0.11
ret_vol_corr_20,-0.05,0.01,0.06,0.47,0.19,0.14,0.03,0.52,0.56,1.0,0.35,0.15,-0.13,0.05,0.22,-0.02,-0.03,0.02,0.07,0.04,-0.05,0.05,-0.03,0.7,0.18,-0.01,0.0,0.01,,,,-0.09
pct_dist_to_20_high,-0.53,-0.07,-0.23,0.66,0.71,-0.28,-0.06,0.61,0.54,0.35,1.0,0.35,-0.34,0.31,0.62,0.04,-0.04,0.02,0.1,0.33,-0.36,0.04,-0.03,0.22,-0.01,-0.03,0.03,-0.0,,,,-0.12
breakout_up_20,-0.15,-0.06,0.1,0.31,0.29,0.02,0.23,0.3,0.31,0.15,0.35,1.0,-0.07,0.32,0.33,-0.01,-0.11,-0.02,0.12,0.41,-0.2,0.03,0.01,0.03,0.0,0.05,-0.01,-0.0,,,,-0.01
breakout_down_20,0.06,-0.06,0.17,-0.27,-0.3,-0.01,0.2,-0.24,-0.19,-0.13,-0.34,-0.07,1.0,-0.25,-0.36,-0.01,-0.09,-0.04,-0.17,-0.18,0.45,0.04,-0.01,-0.07,-0.09,0.03,-0.01,0.01,,,,0.02
vwap_dist,-0.09,0.01,-0.02,0.18,0.15,-0.01,0.07,0.21,0.11,0.05,0.31,0.32,-0.25,1.0,0.23,-0.0,0.03,-0.0,0.03,0.47,-0.45,-0.01,0.05,0.02,-0.01,-0.04,-0.02,0.05,,,,-0.06
vwap_slope_5,-0.16,0.03,-0.08,0.5,0.73,0.1,-0.04,0.39,0.39,0.22,0.62,0.33,-0.36,0.23,1.0,0.05,-0.02,0.01,0.17,0.44,-0.45,0.03,-0.01,0.13,0.09,-0.0,0.0,0.0,,,,-0.02
wick_to_body_ratio,-0.01,-0.02,-0.03,0.07,0.02,0.04,-0.02,0.01,0.01,-0.02,0.04,-0.01,-0.01,-0.0,0.05,1.0,0.08,-0.01,0.0,0.05,-0.02,0.06,-0.04,0.01,-0.0,-0.01,0.04,-0.02,,,,0.01
inside_bar,0.09,0.03,-0.19,-0.01,-0.01,0.06,-0.14,-0.03,0.01,-0.03,-0.04,-0.11,-0.09,0.03,-0.02,0.08,1.0,-0.13,0.04,-0.02,-0.08,-0.07,0.03,0.02,0.06,-0.04,0.0,-0.01,,,,0.08
engulfing,0.02,0.06,0.24,0.03,-0.03,-0.02,0.02,0.05,0.03,0.02,0.02,-0.02,-0.04,-0.0,0.01,-0.01,-0.13,1.0,0.01,-0.07,-0.03,0.03,-0.02,0.01,0.0,0.12,-0.1,-0.01,,,,0.0
gap_pct,0.04,0.02,0.04,0.08,0.06,0.05,-0.02,-0.03,0.08,0.07,0.1,0.12,-0.17,0.03,0.17,0.0,0.04,0.01,1.0,0.21,-0.23,-0.11,0.06,0.09,0.12,-0.07,0.01,0.03,,,,0.04
up_streak,-0.05,0.05,-0.04,0.26,0.32,0.13,0.1,0.23,0.32,0.04,0.33,0.41,-0.18,0.47,0.44,0.05,-0.02,-0.07,0.21,1.0,-0.53,0.01,-0.02,-0.07,0.07,-0.03,0.0,0.05,,,,0.01
down_streak,0.07,-0.01,0.09,-0.23,-0.31,-0.04,0.08,-0.16,-0.23,-0.05,-0.36,-0.2,0.45,-0.45,-0.45,-0.02,-0.08,-0.03,-0.23,-0.53,1.0,0.01,-0.03,0.05,-0.09,0.04,0.02,-0.05,,,,-0.02
wick_up_streak_3,-0.02,-0.07,0.06,0.05,0.02,0.02,0.05,-0.03,0.03,0.05,0.04,0.03,0.04,-0.01,0.03,0.06,-0.07,0.03,-0.11,0.01,0.01,1.0,-0.53,0.0,-0.13,0.0,-0.0,-0.01,,,,-0.06
wick_down_streak_3,-0.05,-0.09,-0.05,-0.04,-0.0,-0.01,-0.03,0.04,0.0,-0.03,-0.03,0.01,-0.01,0.05,-0.01,-0.04,0.03,-0.02,0.06,-0.02,-0.03,-0.53,1.0,0.07,0.12,-0.01,0.03,-0.01,,,,0.02
ret_skew_20,-0.06,-0.01,0.05,0.37,0.05,0.09,0.03,0.24,0.24,0.7,0.22,0.03,-0.07,0.02,0.13,0.01,0.02,0.01,0.09,-0.07,0.05,0.0,0.07,1.0,0.27,-0.01,-0.0,0.02,,,,0.06
ret_kurt_20,0.24,0.29,0.1,0.14,0.07,0.21,-0.0,0.09,0.24,0.18,-0.01,0.0,-0.09,-0.01,0.09,-0.0,0.06,0.0,0.12,0.07,-0.09,-0.13,0.12,0.27,1.0,-0.01,0.01,-0.0,,,,0.37
dow,0.01,-0.0,0.09,-0.02,-0.0,-0.0,0.0,-0.02,-0.01,-0.01,-0.03,0.05,0.03,-0.04,-0.0,-0.01,-0.04,0.12,-0.07,-0.03,0.04,0.0,-0.01,-0.01,-0.01,1.0,-0.63,-0.21,,,,0.0
dow_sin,-0.02,-0.0,-0.08,0.01,0.02,-0.01,0.06,0.01,0.01,0.0,0.03,-0.01,-0.01,-0.02,0.0,0.04,0.0,-0.1,0.01,0.0,0.02,-0.0,0.03,-0.0,0.01,-0.63,1.0,-0.42,,,,-0.0
dow_cos,0.02,0.0,0.02,0.02,-0.01,0.01,-0.09,0.02,0.02,0.01,-0.0,-0.0,0.01,0.05,0.0,-0.02,-0.01,-0.01,0.03,0.05,-0.05,-0.01,-0.01,0.02,-0.0,-0.21,-0.42,1.0,,,,-0.0
hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_sin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hour_cos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vol_cv_20_log,0.1,0.09,0.04,0.06,-0.06,0.16,0.02,-0.06,0.11,-0.09,-0.12,-0.01,0.02,-0.06,-0.02,0.01,0.08,0.0,0.04,0.01,-0.02,-0.06,0.02,0.06,0.37,0.0,-0.0,-0.0,,,,1.0
